emr,əm
Alicante,ælɪkæntɪ
Alice,ælɪs
Alison,ælɪsn
All right,ɔl raɪt
Allah,ælə
Allahabad,æləhəbɑd
Allan,ælən
Allen,ælən
Alloa,æloʊə
Alma Mater,ælmə mɑtər
Alma Maters,ælmə mɑtəz
Alma-Ata,ælmə-ɑtə
Almeria,ælmərɪə
Alnwick,ænɪk
Alright,ɔlraɪt
Alsatian,ælseɪʃn
Alsatians,ælseɪʃnz
Alton,ɔltən
Altrincham,ɔltrɪŋəm
Alvechurch,ɔlvtʃɜtʃ
Amanda,əmændə
Amazon,æməzən
Amazons,æməzənz
America,əmerɪkə
American,əmerɪkən
Americanism,əmerɪkənɪzəm
Americanisms,əmerɪkənɪzəmz
Americans,əmerɪkənz
Amesbury,eɪmzbərɪ
Amharic,æmhærɪk
Amiens,æmɪənz
Ammanford,æmənfəd
Amsterdam,æmstədæm
Amy,eɪmɪ
Ancona,ænkoʊnə
Andorra,ændɔrə
Andorran,ændɔrən
Andorrans,ændɔrənz
Andover,ændoʊvər
Andrew,ændru
Andy,ændɪ
Angela,ændʒələ
Angers,ænʒeəz
Angie,ændʒɪ
Anglican,æŋglɪkən
Anglicans,æŋglɪkənz
Anglo-,æŋgloʊ-
Anglo-Catholic,æŋgloʊ-kæθlɪk
Anglo-Catholics,æŋgloʊ-kæθlɪks
Anglo-Indian,æŋgloʊ-ɪndɪən
Anglo-Indians,æŋgloʊ-ɪndɪənz
Anglo-Saxon,æŋgloʊ-sæksən
Anglo-Saxons,æŋgloʊ-sæksənz
Anglomania,æŋgloʊmeɪnɪə
Anglophil,æŋgloʊfɪl
Anglophile,æŋgloʊfaɪl
Anglophiles,æŋgloʊfaɪlz
Anglophils,æŋgloʊfɪlz
Anglophobe,æŋgloʊfoʊb
Anglophobes,æŋgloʊfoʊbz
Anglophobia,æŋgloʊfoʊbɪə
Angola,æŋgoʊlə
Angolan,æŋgoʊlən
Angolans,æŋgoʊlənz
Anguilla,æŋgwɪlə
Anguillan,æŋgwɪlən
Anguillans,æŋgwɪlənz
Angus,æŋgəs
Anita,ənitə
Ankara,æŋkərə
Ann,æn
Annabel,ænəbel
Annan,ænən
Anne,æn
Annfield,ænfild
Annfield Plain,ænfild pleɪn
Annie,ænɪ
Anno Domini,ænoʊ dɒmɪnaɪ
Anon,ənɒn
Anshan,ænʃn
Anthea,ænθɪə
Anthony,æntənɪ
Antigua,æntigə
Antiguan,æntigən
Antiguans,æntigənz
Antony,æntənɪ
Antrim,æntrɪm
Antwerp,æntwɜp
Apeldoorn,æpldɔn
Apocrypha,əpɒkrɪfə
Apr,eɪprɪl
April,eɪprəl
Aprils,eɪprəlz
Aquarius,əkweərɪəs
Arab,ærəb
Arabian,əreɪbɪən
Arabians,əreɪbɪənz
Arabic,ærəbɪk
Arabist,ærəbɪst
Arabists,ærəbɪsts
Arabs,ærəbz
Arbroath,ɑbroʊθ
Arcadian,ɑkeɪdɪən
Arcadians,ɑkeɪdɪənz
Ardrossan,ɑdrɒsən
Argentina,ɑdʒəntinə
Argentine,ɑdʒəntaɪn
Argentinian,ɑdʒəntinɪən
Argentinians,ɑdʒəntinɪənz
Argonaut,ɑgənɔt
Argonauts,ɑgənɔts
Argus,ɑgəs
Argus-eyed,ɑgəs-aɪd
Arguses,ɑgəsɪz
Aries,eəriz
Arizona,ærɪzoʊnə
Arkansas,ɑkənsɔ
Armadale,ɑmədeɪl
Armageddon,ɑməgedn
Armagh,ɑmɑ
Arnhem,ɑnəm
Arnold,ɑnld
Art,ɑt
Arthur,ɑθər
Artie,ɑtɪ
Aryan,eərɪən
Aryans,eərɪənz
Ascot,æskət
Ashbourne,æʃbɔn
Ashby,æʃbɪ
Ashby Woulds,æʃbɪ woʊldz
Ashby de la Zouch,æʃbɪ də lə zuʃ
Ashford,æʃfəd
Ashington,æʃɪŋtən
Ashton-in-Makerfield,æʃtən-ɪn-meɪkəfild
Ashton-under-Lyne,æʃtən-ʌndə-laɪn
Asian,eɪʃn
Asians,eɪʃnz
Asiatic,eɪʃɪætɪk
Asiatics,eɪʃɪætɪks
Askern,æskən
Aspull,æspəl
Aston,æstən
Athenian,əθinɪən
Athenians,əθinɪənz
Athens,æθɪnz
Atherstone,æθəstən
Athlone,æθloʊn
Atlanta,ætlæntə
Atlantic,ətlæntɪk
Attic,ætɪk
Auckland,ɔklənd
Audley,ɔdli
Audrey,ɔdrɪ
Aug,ɔgəst
Augsburg,aʊgzbɜg
August,ɔgəst
Augustan,ɔgʌstən
Augusts,ɔgəsts
Aussie,ɒzɪ
Aussies,ɒzɪz
Australia,ɒstreɪlɪə
Australian,ɒstreɪlɪən
Australians,ɒstreɪlɪənz
Austria,ɒstrɪə
Austrian,ɒstrɪən
Austrians,ɒstrɪənz
Ave,æv
Aveley,eɪvlɪ
Avignon,ævɪŋjɒn
Avon,eɪvən
Aycliffe,eɪklɪf
Aylesbury,eɪlzbərɪ
Aylesford,eɪlzfəd
Ayr,eər
B,bi
B Ed,bi ed
B's,biz
BA,bieɪ
BBC,bibisi
BC,bisi
BMA,biemeɪ
BMus,bimʌz
BST,biesti
BSc,biessi
BVM,biviem
Babs,bæbz
Backworth,bækwəθ
Bacup,beɪkəp
Badajoz,bædəhɒz
Badalona,bædəloʊnə
Baghdad,bægdæd
Bahamas,bəhɑməz
Bahamian,bəhɑmɪən
Bahamians,bəhɑmɪənz
Bahasa,bəhɑzə
Bahrain,bɑreɪn
Bahraini,bɑreɪnɪ
Bahrainis,bɑreɪnɪz
Bailey,beɪlɪ
Baku,bæku
Baldock,bɔldɒk
Baltimore,bɔltɪmɔr
Banbury,bænbərɪ
Bandung,bændəŋ
Bangalore,bæŋgəlɔr
Bangkok,bæŋkɒk
Bangladesh,bæŋglədeʃ
Bangladeshi,bæŋglədeʃɪ
Bangladeshis,bæŋglədeʃɪz
Bangor,bæŋgər
Bannockburn,bænəkbɜn
Bantry,bæntrɪ
Bantu,bæntu
Bantus,bæntuz
Baptist,bæptɪst
Baptists,bæptɪsts
Baracaldo,bærəkældoʊ
Barbadian,bɑbeɪdɪən
Barbadians,bɑbeɪdɪənz
Barbados,bɑbeɪdəs
Barbara,bɑbrə
Barcelona,bɑsɪloʊnə
Bargoed,bɑgoʊɪd
Bari,bɑri
Barking,bɑkɪŋ
Barnard Castle,bɑnəd kɑsl
Barnet,bɑnɪt
Barnoldswick,bɑnəldzwɪk
Barnsley,bɑnzlɪ
Barnstaple,bɑnstəpl
Barranquilla,bærənkiə
Barrhead,bɑhed
Barrow-in-Furness,bæroʊ-ɪn-fɜnɪs
Barry,bærɪ
Bart,bɑt
Bartholomew,bɑθɒləmju
Barton-upon-Humber,bɑtən-əpɒn-hʌmbər
Basel,bɑzl
Basil,bæzl
Basildon,bæzɪldən
Basingstoke,beɪzɪŋstoʊk
Bass,bæs
Bath,bɑθ
Bath-chair,bɑθ-tʃeər
Bath-chairs,bɑθ-tʃeəz
Bathgate,bɑθgeɪt
Batley,bætlɪ
Beaconsfield,bekənzfild
Bearsden,beəzdən
Beatrice,bɪətrɪs
Beaujolais,boʊʒəleɪ
Beaumaris,boʊmærɪs
Bebington,bebɪŋtən
Beccles,beklz
Beddau,beðaʊ
Bedford,bedfəd
Bedfordshire,bedfədʃər
Bedlington,bedlɪŋtən
Bedouin,bedʊɪn
Beduin,bedʊɪn
Bedwas,bedwɒz
Beirut,beɪrut
Beith,biθ
Belem,beləm
Belfast,belfɑst
Belgian,beldʒən
Belgians,beldʒənz
Belgium,beldʒəm
Belgrade,belgreɪd
Belinda,bəlɪndə
Bella,belə
Belle,bel
Bellshill,belzhɪl
Belo Horizonte,beloʊ hɒrɪzɒntɪ
Belper,belpər
Ben,ben
Benedictine,benɪdɪktɪn
Benedictines,benɪdɪktɪnz
Bengali,beŋgɔlɪ
Bengalis,beŋgɔlɪz
Benin,benɪn
Beninese,benɪniz
Benjamin,bendʒəmɪn
Benny,benɪ
Benzedrine,benzədrin
Benzedrines,benzədrinz
Beograd,beɪoʊgræd
Bergamo,bɜgɑmoʊ
Bergen,bɜgən
Berkhamsted,bɜkəmstɪd
Berkshire,bɑkʃər
Berlin,bɜlɪn
Bermuda,bəmjudə
Bermudan,bəmjudən
Bermudans,bəmjudənz
Bern,bɜn
Bernard,bɜnəd
Bernie,bɜnɪ
Bert,bɜt
Bertha,bɜθə
Bertie,bɜtɪ
Berwick-upon-Tweed,berɪk-əpɒn-twid
Beryl,berəl
Bess,bes
Bessie,besɪ
Bethune,beθun
Betsy,betsɪ
Betty,betɪ
Beverley,bevəlɪ
Bewdley,bjudlɪ
Bexhill,bekshɪl
Bexley,bekslɪ
Bhutan,butɑn
Bhutani,butɑnɪ
Bhutanis,butɑnɪz
Bible,baɪbl
Bibles,baɪblz
Bicester,bɪstər
Biddulph,bɪdʌlf
Bideford,bɪdɪfəd
Bielefeld,biləfelt
Biggleswade,bɪglzweɪd
Bilbao,bɪlbɑoʊ
Bill,bɪl
Billericay,bɪlərɪkɪ
Billington,bɪlɪŋtən
Billy,bɪlɪ
Bingley,bɪŋlɪ
Birkenhead,bɜkənhed
Birstall,bɜstɔl
Birtley,bɜtlɪ
Bishop Auckland,bɪʃəp ɔklənd
Bishop's Cleeve,bɪʃəps kliv
Bishop's Stortford,bɪʃəp stɔfəd
Bishopbriggs,bɪʃəpbrɪgz
Blackburn,blækbɜn
Blackhall,blækhɔl
Blackpool,blækpul
Blackshirt,blækʃɜt
Blackshirts,blækʃɜts
Blackwood,blækwʊd
Blaenau-Ffestiniog,bleɪnə-festɪnɪɒg
Blaenavon,bleɪnævən
Blaengwrach,bleɪŋgrɑk
Blaina,blaɪnə
Blairgowrie,bleəgaʊrɪ
Blantyre,blænteɪər
Bldg,bɪldɪŋ
Bldgs,bɪldɪŋz
Bletchley,bletʃlɪ
Blidworth,blɪdwəθ
Blighty,blaɪtɪ
Blvd,buləvɑd
Blyth,blaɪ
Bo'ness,boʊnes
Bob,bɒb
Bobby,bɒbɪ
Boche,bɒʃ
Bochum,bɒkəm
Bodmin,bɒdmɪn
Boer,boʊər
Boers,boʊəz
Bognor,bɒgnər
Bognor Regis,bɒgnə ridʒɪs
Bogota,bɒgətɑ
Boldon,bɒldən
Bolivia,bəlɪvɪə
Bolivian,bəlɪvɪən
Bolivians,bəlɪvɪənz
Bollington,bɒlɪŋtən
Bologna,bəlɒnjə
Bolshevik,bɒlʃəvɪk
Bolsheviks,bɒlʃəvɪks
Bolsover,bɒlsoʊvər
Bolton,boʊltən
Bolton-le-Sands,boʊltən-lɪ-sændz
Bolzano,bɒlzɑnoʊ
Bombay,bɒmbeɪ
Bonn,bɒn
Bonnybridge,bɒnɪbrɪdʒ
Bonnyrigg,bɒnɪrɪg
Bootle,butl
Bordeaux,bɔdoʊ
Borders,bɔdəz
Bordon,bɔdən
Boris,bɒrɪs
Boston,bɒstən
Botswana,bɒtswɑnə
Bottrop,bɒtrəp
Bourne,bɔn
Bournemouth,bɔnməθ
Bow Bells,boʊ belz
Bowburn,boʊbən
Boxing Day,bɒksɪŋ deɪ
Boxing Days,bɒksɪŋ deɪz
Bracknell,bræknəl
Bradford,brædfəd
Bradford-on-Avon,brædfəd-ɒn-eɪvən
Brahmin,brɑmɪn
Brahmins,brɑmɪnz
Braintree,breɪntri
Branderburgh,brændəbərə
Brasilia,brəzɪlɪə
Bratislava,brætɪslɑvə
Braunschweig,brɔnʃveɪg
Braunton,brɔntən
Brazil,brəzɪl
Brazilian,brəzɪlɪən
Brazilians,brəzɪlɪənz
Breaston,bristən
Brecknock,breknɒk
Breda,bridə
Breedsall,bridsɔl
Bremen,breɪmən
Bremerhaven,breɪməhɑvən
Bren,bren
Bren-gun,bren-gʌn
Bren-guns,bren-gʌnz
Brenda,brendə
Brens,brenz
Brent,brent
Brentwood,brentwʊd
Brescia,breʃɪə
Brest,brest
Brian,braɪən
Bricket Wood,brɪkɪt wʊd
Bridgend,brɪdʒend
Bridget,brɪdʒɪt
Bridgnorth,brɪdʒnɔθ
Bridgwater,brɪdʒwɔtər
Bridlington,brɪdlɪŋtən
Bridport,brɪdpɔt
Brig,brɪg
Brigadier,brɪgədɪər
Brigadiers,brɪgədɪəz
Brighouse,brɪghaʊs
Brightlingsea,braɪtlɪŋsi
Brighton,braɪtn
Brisbane,brɪzbən
Bristol,brɪstl
Brit,brɪt
Britain,brɪtn
Britannic,brɪtænɪk
British,brɪtɪʃ
Britisher,brɪtɪʃər
Britishers,brɪtɪʃəz
Briton,brɪtn
Britons,brɪtnz
Brits,brɪts
Brixham,brɪksəm
Brno,bɜnoʊ
Bromley,brɒmlɪ
Bromsgrove,brɒmzgroʊv
Bros,brɒs
Broughton,brɔtn
Broxburn,brɒksbɜn
Bruce,brus
Bruges,bruʒ
Brunei,brunaɪ
Bruneian,brunaɪən
Bruneians,brunaɪənz
Brunswick,brʌnzwɪk
Brussels,brʌslz
Bryan,braɪən
Bt,bɑt
Bucarest,bjukərest
Buckhaven,bʌkheɪvn
Buckie,bʌkɪ
Buckingham,bʌkɪŋəm
Buckinghamshire,bʌkɪŋəmʃər
Buckley,bʌklɪ
Bucksburn,bʌksbɜn
Budapest,bjudəpest
Buddhism,bʊdɪzəm
Buddhist,bʊdɪst
Buddhists,bʊdɪsts
Buenos Aires,bwenəs eɪərɪz
Buffalo,bʌfəloʊ
Bulgaria,bʌlgeərɪə
Bulgarian,bʌlgeərɪən
Bulgarians,bʌlgeərɪənz
Bulkington,bʌlkɪŋtn
Bunsen,bʌnsn
Bunsens,bʌnsnz
Burberries,bɜbərɪz
Burberry,bɜbərɪ
Burgess,bɜdʒɪs
Burgos,bɜgɒs
Burgundy,bɜgəndɪ
Burley,bɜlɪ
Burma,bɜmə
Burmese,bɜmiz
Burnham-on-sea,bɜnəm-ɒn-si
Burnley,bɜnlɪ
Burntisland,bɜntaɪlənd
Burntwood,bɜntwʊd
Burry Port,bʌrɪ pɔt
Burscough,bɜskoʊ
Burton-upon-Trent,bɜtn-əpɒn-trent
Burundi,bʊrʊndɪ
Burundian,bʊrʊndɪən
Burundians,bʊrʊndɪənz
Bury,berɪ
Bury St Edmunds,berɪ snt edmənz
Bushman,bʌʃmən
Bushmen,bʌʃmən
Buxton,bʌkstən
C,si
C of E,si əv i
C's,siz
C-in-C,siɪnsi
CBI,sibiaɪ
CD,sidi
CIA,sɪaɪeɪ
CID,siaɪdi
CO,sioʊ
COD,sioʊdi
Cadiz,kədɪz
Caen,keɪn
Caerleon,kɑliən
Caernarfon,kənɑvən
Caerphilly,kəfɪlɪ
Caesar,sizər
Caesarian,sɪzeərɪən
Caesars,sizəz
Cagliari,kæljɑrɪ
Cairo,kaɪroʊ
Calcutta,kælkʌtə
Caldicot,kɔldɪkɒt
Cali,kɑlɪ
California,kælɪfɔnɪə
Californian,kælɪfɔnɪən
Californians,kælɪfɔnɪənz
Calne,kɑn
Calor,kælə
Calvaries,kælvərɪz
Calvary,kælvərɪ
Calverton,kælvətən
Calvinism,kælvɪnɪzəm
Calvinist,kælvɪnɪst
Calvinists,kælvɪnɪsts
Cambodia,kæmboʊdɪə
Cambodian,kæmboʊdɪən
Cambodians,kæmboʊdɪənz
Cambourne,kæmbɔn
Cambridge,keɪmbrɪdʒ
Cambridgeshire,keɪmbrɪdʒ+ʃər
Cambuslang,kæmbəslæŋ
Camden,kæmdən
Camembert,kæməmbeər
Camemberts,kæməmbeəz
Cameroon,kæmərun
Cameroonian,kæmərunɪən
Cameroonians,kæmərunɪənz
Campbeltown,kæmbəltaʊn
Canada,kænədə
Canadian,kəneɪdɪən
Canadians,kəneɪdɪənz
Canberra,kænbərə
Cancer,kænsər
Cannes,kæn
Cannock,kænək
Cantab,kæntæb
Canterbury,kæntəbrɪ
Canton,kæntɒn
Canuck,kənʊk
Canucks,kənʊks
Canvey,kænvɪ
Canvey Island,kænvɪ aɪlənd
Cape Town,keɪp taʊn
Capitol,kæpɪtl
Capitols,kæpɪtlz
Capricorn,kæprɪkɔn
Capt,kæpt
Caracas,kərækəs
Cardenden,kɑdndən
Cardiff,kɑdɪf
Cardigan,kɑdɪgən
Carl,kɑl
Carlisle,kɑlaɪl
Carlow,kɑloʊ
Carluke,kɑluk
Carmarthen,kəmɑðən
Carmelite,kɑməlaɪt
Carmelites,kɑməlaɪts
Carnforth,kɑnfəθ
Carnoustie,kɑnustɪ
Carol,kærəl
Carole,kærəl
Carolina,kærəlaɪnə
Caroline,kærəlaɪn
Carolyn,kærəlɪn
Carrie,kærɪ
Carron,kærən
Cartagena,kɑtədʒinə
Casablanca,kæsəblæŋkə
Castleford,kɑslfəd
Catalan,kætəlæn
Catania,kəteɪnɪə
Cath,kæθ
Catherine,kæθrɪn
Catholic,kæθlɪk
Catholicism,kəθɒlɪsɪzm
Catholics,kæθlɪks
Cathy,kæθɪ
Caucasian,kɔkeɪzɪən
Caucasians,kɔkeɪzɪənz
Cavan,kævən
Cdr,kəmɑndər
Cdre,kɒmədɔr
Cecil,sesl
Cecilia,sɪsilɪə
Cecily,sesəlɪ
Cedric,sedrɪk
Cefn-mawr,kefn-maʊr
Celia,silɪə
Celsius,selsɪəs
Celt,kelt
Celtic,keltɪk
Celtics,keltɪks
Celts,kelts
Cesarean,sɪzeərɪən
Ceylon,sɪlɒn
Chad,tʃæd
Chadian,tʃædɪən
Chadians,tʃædɪənz
Chalfont,tʃælfənt
Chalfont St Giles,tʃælfənt snt dʒaɪlz
Chalfont St Peter,tʃælfənt snt pitər
Changchun,tʃæŋtʃʊn
Changsha,tʃæŋʃɑ
Chard,tʃɑd
Charles,tʃɑlz
Charleston,tʃɑlstən
Charlestons,tʃɑlstənz
Charlie,tʃɑlɪ
Charlotte,ʃɑlət
Chartism,tʃɑtɪzəm
Chartist,tʃɑtɪst
Chartists,tʃɑtɪsts
Charybdis,kərɪbdɪs
Chas,tʃæz
Chatham,tʃætəm
Cheadle,tʃidl
Cheddar,tʃedər
Cheers,tʃɪəz
Chelmsford,tʃelmzfəd
Chelsea,tʃelsɪ
Cheltenham,tʃeltnəm
Chelyabinsk,tʃɪlɪəbɪnsk
Chengchow,tʃeŋtʃaʊ
Chengtu,tʃeŋtu
Chepstow,tʃepstoʊ
Chesham,tʃeʃəm
Cheshire,tʃeʃər
Chester,tʃestər
Chester-le-Street,tʃestə-lɪ-strit
Chesterfield,tʃestəfild
Chianti,kɪæntɪ
Chicago,ʃɪkɑgoʊ
Chichester,tʃɪtʃɪstər
Chile,tʃɪlɪ
Chilean,tʃɪlɪən
Chileans,tʃɪlɪənz
China,tʃaɪnə
Chinchow,tʃɪntʃaʊ
Chinese,tʃaɪniz
Chippendale,tʃɪpəndeɪl
Chippendales,tʃɪpəndeɪlz
Chippenham,tʃɪpnəm
Chloe,kloʊɪ
Chopwell,tʃɒpwɪl
Chorley,tʃɔlɪ
Chris,krɪs
Chrissie,krɪsɪ
Chrissy,krɪsɪ
Christ,kraɪst
Christchurch,kraɪstʃɜtʃ
Christendom,krɪsndəm
Christendoms,krɪsndəmz
Christian,krɪstʃən
Christianity,krɪstɪænɪtɪ
Christians,krɪstʃənz
Christina,krɪstinə
Christine,krɪstin
Christlike,kraɪslaɪk
Christmas,krɪsməs
Christmas-box,krɪsməs-bɒks
Christmas-boxes,krɪsməs-bɒksɪz
Christmas-tree,krɪsməs-tri
Christmas-trees,krɪsməs-triz
Christmases,krɪsməsɪz
Christmastide,krɪsməstaɪd
Christmastides,krɪsməstaɪdz
Christmastime,krɪsməstaɪm
Christmastimes,krɪsməstaɪmz
Christopher,krɪstəfər
Chungking,tʃʊŋkɪŋ
Cincinnati,sɪnsɪnætɪ
Cinderella,sɪndərelə
Cinderellas,sɪndəreləz
Cinderford,sɪndəfəd
Cirencester,saɪrənsestər
Civvy Street,sɪvɪ strit
Clackmannon,klækmænən
Clacton,klæktən
Clare,kleər
Clarkston,klɑkstən
Clarrie,klærɪ
Classics,klæsɪks
Claud,klɔd
Claude,klɔd
Clay Cross,kleɪ krɒs
Cleator Moor,klitə mʊər
Cleethorpes,kliθɔps
Clem,klem
Clement,klemənt
Clermont-Ferrand,kleəmɒŋ-ferɒŋ
Clevedon,klivdən
Cleveland,klivlənd
Cliff,klɪf
Clifford,klɪfəd
Clitheroe,klɪðəroʊ
Clive,klaɪv
Clowne,klaʊn
Clwyd,kluɪd
Clydach,klɪdæk
Clydebank,klaɪdbæŋk
Co,koʊ
Co-op,koʊ-ɒp
Coalville,koʊlvɪl
Coatbridge,koʊtbrɪdʒ
Cobham,kɒbəm
Coca-Cola,koʊkə-koʊlə
Coca-Colas,koʊkə-koʊləz
Cockermouth,kɒkəməθ
Codsall,kɒdsəl
Coimbatore,kɔɪmbətɔr
Col,kɜnl
Colchester,kɒltʃestər
Coleshill,koʊlzhɪl
Colin,kɒlɪn
Coll,kɒlɪdʒ
Colne,koʊn
Cologne,kəloʊn
Colombia,kəlɒmbɪə
Colombian,kəlɒmbɪən
Colombians,kəlɒmbɪənz
Colombo,kəlɒmboʊ
Colorado,kɒlərɑdoʊ
Columbia,kəlʌmbɪə
Columbus,kəlʌmbəs
Colwyn Bay,kɒlwɪn beɪ
Confucian,kənfjuʃn
Confucians,kənfjuʃnz
Congleton,kɒŋgltən
Congo,kɒŋgoʊ
Congolese,kɒŋgəliz
Congregational,kɒŋgrɪgeɪʃənəl
Connah's Quay,kɒnəz ki
Connaught,kɒnɔt
Connecticut,kənetɪkət
Connie,kɒnɪ
Cons,kɒns
Consett,kɒnsɪt
Constance,kɒnstəns
Conwy,kɒnweɪ
Cookham,kʊkəm
Copenhagen,koʊpənheɪgən
Copernican,kəpɜnɪkən
Coppull,kɒpəl
Copt,kɒpt
Coptic,kɒptɪk
Coptics,kɒptɪks
Copts,kɒpts
Corby,kɔbɪ
Cordoba,kɔdəbə
Corinthian,kərɪnθɪən
Corinthians,kərɪnθɪənz
Cork,kɔk
Cornwall,kɔnwɔl
Corp,kɔp
Corps Diplomatique,kɔ dɪpləmætik
Corsham,kɔʃəm
Corunna,kərʌnə
Cosenza,kəsenzə
Costa Rica,kɒstə rikə
Costa Rican,kɒstə rikən
Costa Ricans,kɒstə rikənz
Coventry,kɒvntrɪ
Cowdenbeath,kaʊdənbiθ
Cowes,kaʊz
Cpl,kɔprəl
Cramlington,kræmlɪŋtən
Crawley,krɔlɪ
Creole,krioʊl
Creoles,krioʊlz
Cres,krez
Creswell,kreswɪl
Crewe,kru
Crieff,krif
Croesus,krisəs
Cromer,kroʊmər
Crook,krʊk
Crosby,krɒsbɪ
Crowborough,kroʊbərə
Crowthorne,kroʊθɔn
Croydon,kroɪdən
Cuba,kjubə
Cuban,kjubən
Cubans,kjubənz
Cudworth,kʌdwəθ
Cuffley,kʌflɪ
Culcheth,kʌltʃəθ
Cumberland,kʌmbələnd
Cumbernauld,kʌmbənɔld
Cumbria,kʌmbrɪə
Cumnock,kʌmnək
Cupar,kupər
Cupid,kjupɪd
Curitiba,kʊərɪtibə
Currie,kʌrɪ
Cwmbran,kumbrɑn
Cyclopean,saɪkloʊpɪən
Cynthia,sɪnθɪə
Cyprian,sɪprɪən
Cypriot,sɪprɪət
Cypriots,sɪprɪəts
Cyprus,saɪprəs
Cyril,sɪrəl
Cyrillic,sɪrɪlɪk
Czech,tʃek
Czechoslovak,tʃekoʊsloʊvæk
Czechoslovakia,tʃekoʊsləvækɪə
Czechoslovakian,tʃekoʊsləvækɪən
Czechoslovakians,tʃekoʊsləvækɪənz
Czechoslovaks,tʃekoʊsloʊvæks
Czechs,tʃeks
D,di
D's,diz
D-day,di-deɪ
DDT,diditi
DES,diies
DG,didʒi
DIY,diaɪwaɪ
DJ,didʒeɪ
DJs,didʒeɪz
DLitt,dilɪt
DM,doɪtʃmɑk
DNA,dieneɪ
DPhil,difɪl
DSS,dieses
DSc,diessi
DTI,ditiaɪ
DTs,ditiz
Dacca,dækə
Dail Eireann,doɪl eərən
Daisy,deɪzɪ
Dakar,dækər
Dakota,dəkoʊtə
Dalkeith,dælkiθ
Dallas,dæləs
Dalry,dælraɪ
Dalton,dɒltn
Damascus,dəmæskəs
Damocles,dæməkliz
Dan,dæn
Dane,deɪn
Danes,deɪnz
Daniel,dɑnɪəl
Daniels,dɑnɪəlz
Danish,deɪnɪʃ
Danny,dænɪ
Daphne,dæfnɪ
Darby,dɑbɪ
Darenth,dærənθ
Darfield,dɑfild
Darkey,dɑkɪ
Darkeys,dɑkɪz
Darkie,dɑkɪ
Darkies,dɑkɪz
Darky,dɑkɪ
Darlington,dɑlɪŋtən
Darmstadt,dɑmstæt
Dartford,dɑtfəd
Dartmouth,dɑtməθ
Darwen,dɑwɪn
Dave,deɪv
Daventry,dævɪntrɪ
Davey,deɪvɪ
David,deɪvɪd
Dawley,dɔlɪ
Dawlish,dɔlɪʃ
Dawn,dɔn
Dayton,deɪtn
Deal,dil
Dean,din
Debbie,debɪ
Debby,debɪ
Deborah,debərə
Dec,dek
Decalogue,dekəlɒg
Decalogues,dekəlɒgz
December,dɪsembər
Decembers,dɪsembəz
